summit1,summit2,distance_km
EA7/JA-084,ZL1/BP-177,20012.27
EA1/CR-037,ZL3/CB-849,20012.26
EA1/ZA-008,ZL3/MB-191,20012.26
EA1/LU-042,ZL3/CB-685,20012.26
EA1/OU-001,ZL3/MB-150,20012.26
EA4/CR-012,ZL1/WK-071,20012.26
EA4/CR-114,ZL1/MW-170,20012.26
EA1/CR-038,ZL3/CB-654,20012.25
EA1/OU-002,ZL3/CB-505,20012.25
EA7/JA-121,ZL1/BP-115,20012.25
EA1/CR-012,ZL3/CB-287,20012.25
EA1/LU-051,ZL3/CB-423,20012.25
CT/MN-021,ZL3/WC-476,20012.25
EA5/AB-031,ZL1/GI-021,20012.24
EA5/MU-043,ZL1/GI-031,20012.24
EA1/LU-042,ZL3/CB-736,20012.24
EA1/LE-174,ZL3/CB-661,20012.24
CT/BA-026,ZL3/TM-205,20012.23
EA1/CR-038,ZL3/CB-663,20012.23
EA7/MA-126,ZL1/WK-093,20012.22
EA7/JA-141,ZL1/WK-030,20012.22
EA4/MD-047,ZL1/MW-150,20012.22
EA1/ZA-017,ZL3/MB-158,20012.21
EA5/AB-047,ZL1/GI-016,20012.2
EA5/AB-075,ZL1/GI-091,20012.2
EA7/JA-124,ZL1/GI-177,20012.2
EA5/MU-089,ZL1/GI-108,20012.19
EA7/CO-021,ZL1/WK-112,20012.19
EA5/MU-001,ZL1/BP-014,20012.18
EA1/CR-046,ZL3/WC-150,20012.18
EA1/OU-043,ZL3/CB-232,20012.17
EA4/CR-080,ZL1/WK-009,20012.17
EA5/MU-054,ZL1/GI-187,20012.17
EA7/JA-155,ZL1/BP-171,20012.17
EA7/MA-075,ZL1/WK-172,20012.16
EA7/JA-122,ZL1/BP-202,20012.16
EA1/PO-017,ZL3/WC-240,20012.15
CT/TM-015,ZL3/TM-236,20012.15
EA5/MU-077,ZL1/GI-108,20012.15
EA1/OU-007,ZL3/MB-077,20012.15
EA1/OU-048,ZL3/MB-021,20012.15
EA5/AB-061,ZL1/GI-131,20012.14
EA4/TO-012,ZL1/MW-139,20012.14
EA1/LU-041,ZL3/CB-289,20012.14
EA4/CR-045,ZL1/MW-012,20012.14
EA4/CR-082,ZL1/WK-033,20012.14
CT/TM-052,ZL3/TM-219,20012.14
EA4/CC-061,ZL1/TN-007,20012.14
EA7/MA-096,ZL1/WK-141,20012.13
EA4/CR-044,ZL1/MW-031,20012.13
EA1/OU-050,ZL3/WC-273,20012.12
EA1/ZA-006,ZL3/MB-019,20012.12
EA1/LE-267,ZL3/CB-375,20012.11
EA1/LU-029,ZL3/CB-758,20012.11
EA5/AB-018,ZL1/GI-179,20012.11
